participant_id,contest_id,country_id,artist_name,song_id,is_finalist
PART000,CONT000,CTRY018,08DTNQFLL7,SONG000,True
PART001,CONT000,CTRY028,V5F1BCPPVO,SONG001,True
PART002,CONT000,CTRY007,HSMDYVSLH9,SONG002,False
PART003,CONT000,CTRY029,BH811KERPE,SONG003,False
PART004,CONT000,CTRY019,TIUYMO0PQC,SONG004,False
PART005,CONT000,CTRY025,LPOXKO8G8Q,SONG005,False
PART006,CONT000,CTRY017,YNPDPOC50H,SONG006,False
PART007,CONT000,CTRY032,2CWTG1M8XF,SONG007,True
PART008,CONT000,CTRY034,DJGF1C8WQU,SONG008,True
PART009,CONT000,CTRY031,UY5X9L8LPQ,SONG009,True
PART010,CONT000,CTRY028,W2VMCQBNKX,SONG010,False
PART011,CONT000,CTRY005,9DVNU80B6U,SONG011,True
PART012,CONT000,CTRY038,GVS8Q349DX,SONG012,True
PART013,CONT000,CTRY002,BZ9SVN7N1Y,SONG013,False
PART014,CONT000,CTRY027,BWMLUNJ48V,SONG014,False
PART015,CONT000,CTRY020,FCX7LXXEZD,SONG015,True
PART016,CONT000,CTRY038,UXLEZ896DY,SONG016,True
PART017,CONT000,CTRY016,SAL8M1G9FK,SONG017,False
PART018,CONT000,CTRY001,2ST0SX5WVF,SONG018,True
PART019,CONT000,CTRY005,GYW6ZBNZ8V,SONG019,True
PART020,CONT000,CTRY014,12II826GYU,SONG020,True
PART021,CONT000,CTRY036,P12SPFHV5B,SONG021,False
PART022,CONT000,CTRY037,RN7ZSEDFQS,SONG022,False
PART023,CONT000,CTRY001,3D6357OONN,SONG023,True
PART024,CONT000,CTRY017,CILDZMFB7R,SONG024,False
PART025,CONT000,CTRY036,31QW6AHF7V,SONG025,False
PART026,CONT001,CTRY002,P1IEIXWC4R,SONG026,True
PART027,CONT001,CTRY011,TWUZKAMUGY,SONG027,False
PART028,CONT001,CTRY030,SM8T2SA5BN,SONG028,True
PART029,CONT001,CTRY033,N0MCIXDU1E,SONG029,True
PART030,CONT001,CTRY028,MMX3Y9RGEZ,SONG030,True
PART031,CONT001,CTRY017,7BH25LLO3R,SONG031,True
PART032,CONT001,CTRY011,BXK5BXJ2PO,SONG032,False
PART033,CONT001,CTRY037,P8MGYN2JCP,SONG033,False
PART034,CONT001,CTRY027,P9GKDLKQZF,SONG034,True
PART035,CONT001,CTRY031,PQ06WPX2CY,SONG035,True
PART036,CONT001,CTRY005,OS0FB4YPEI,SONG036,True
PART037,CONT001,CTRY030,XN8BFQNPCE,SONG037,False
PART038,CONT001,CTRY022,NLK8AGS6E1,SONG038,False
PART039,CONT001,CTRY026,ZHWY9HECGZ,SONG039,False
PART040,CONT001,CTRY021,9389YZTKKF,SONG040,True
PART041,CONT001,CTRY020,ZZGNI92IRM,SONG041,False
PART042,CONT001,CTRY006,UQ9E5COZRO,SONG042,True
PART043,CONT001,CTRY010,OUELCQSE3T,SONG043,True
PART044,CONT001,CTRY021,V1ES53SKF7,SONG044,True
PART045,CONT001,CTRY026,I8SKCH8JWW,SONG045,True
PART046,CONT001,CTRY031,DXVUGW6M7B,SONG046,True
PART047,CONT001,CTRY018,5C81JHUWB6,SONG047,False
PART048,CONT001,CTRY025,TXKI3OQYFO,SONG048,False
PART049,CONT001,CTRY035,QMF5L9MO1S,SONG049,False
PART050,CONT001,CTRY002,DIEQFB85P8,SONG050,False
PART051,CONT001,CTRY029,637ZGF9Q5R,SONG051,True
PART052,CONT002,CTRY005,DOQIVBKV4Y,SONG052,False
PART053,CONT002,CTRY020,KADEJNOBBU,SONG053,False
PART054,CONT002,CTRY016,NKNQT3WVED,SONG054,True
PART055,CONT002,CTRY020,N9UNFVOBBZ,SONG055,False
PART056,CONT002,CTRY007,2SF6F7LOW4,SONG056,False
PART057,CONT002,CTRY025,VSSRURALDO,SONG057,False
PART058,CONT002,CTRY032,L65WVJX8UI,SONG058,True
PART059,CONT002,CTRY000,BRSZ1N3IUZ,SONG059,False
PART060,CONT002,CTRY034,GPPOHSWQ40,SONG060,True
PART061,CONT002,CTRY029,ZSU9RN8QTT,SONG061,False
PART062,CONT002,CTRY026,Y5Y2JR8KK7,SONG062,False
PART063,CONT002,CTRY003,91ZYRRU7ZK,SONG063,False
PART064,CONT002,CTRY012,UT6OM1FB8C,SONG064,False
PART065,CONT002,CTRY033,7X0H3JUJD0,SONG065,True
PART066,CONT002,CTRY023,IB6IIDLRYE,SONG066,True
PART067,CONT002,CTRY039,89FX5RX1KK,SONG067,True
PART068,CONT002,CTRY031,C1XI04B7P4,SONG068,True
PART069,CONT002,CTRY028,7B42G05KBK,SONG069,False
PART070,CONT002,CTRY003,V7MQXS6ESJ,SONG070,False
PART071,CONT002,CTRY013,3L0XZAMKYG,SONG071,False
PART072,CONT002,CTRY017,VWOPLOD9R7,SONG072,False
PART073,CONT002,CTRY035,ANQJLUUJMI,SONG073,True
PART074,CONT002,CTRY008,YQFY751YW7,SONG074,True
PART075,CONT002,CTRY018,NH8RQ9NZ61,SONG075,False
PART076,CONT002,CTRY028,231YV2STN7,SONG076,False
PART077,CONT002,CTRY031,E36HTF4PYZ,SONG077,True
PART078,CONT003,CTRY007,R6QCEOUUYL,SONG078,False
PART079,CONT003,CTRY001,AJAHCPZTC6,SONG079,False
PART080,CONT003,CTRY038,9QKGEX08N6,SONG080,False
PART081,CONT003,CTRY015,Q7NC85E4E9,SONG081,True
PART082,CONT003,CTRY010,OE9419QZPN,SONG082,True
PART083,CONT003,CTRY019,IQFG51BXW7,SONG083,False
PART084,CONT003,CTRY035,6ICVQY5IBP,SONG084,True
PART085,CONT003,CTRY000,T11F9I6UU1,SONG085,True
