result_id,contest_id,country_id,total_points,ranking
RESULT000,CONT000,CTRY029,126,25
RESULT002,CONT000,CTRY013,14,22
RESULT004,CONT000,CTRY004,148,18
RESULT005,CONT000,CTRY026,77,13
RESULT006,CONT000,CTRY032,94,16
RESULT007,CONT000,CTRY002,130,5
RESULT008,CONT000,CTRY025,155,6
RESULT010,CONT000,CTRY019,182,18
RESULT011,CONT000,CTRY030,160,8
RESULT012,CONT000,CTRY001,99,19
RESULT013,CONT000,CTRY028,42,1
RESULT014,CONT000,CTRY000,103,10
RESULT016,CONT000,CTRY035,53,25
RESULT017,CONT000,CTRY023,129,8
RESULT018,CONT000,CTRY003,67,8
RESULT019,CONT000,CTRY015,140,3
RESULT020,CONT000,CTRY024,131,9
RESULT022,CONT000,CTRY021,105,9
RESULT023,CONT000,CTRY039,52,13
RESULT024,CONT000,CTRY020,134,24
RESULT025,CONT000,CTRY010,5,24
RESULT026,CONT001,CTRY039,39,23
RESULT027,CONT001,CTRY032,4,3
RESULT028,CONT001,CTRY019,175,12
RESULT029,CONT001,CTRY008,122,22
RESULT030,CONT001,CTRY018,102,16
RESULT031,CONT001,CTRY005,20,10
RESULT032,CONT001,CTRY002,38,19
RESULT033,CONT001,CTRY030,60,7
RESULT035,CONT001,CTRY003,102,12
RESULT037,CONT001,CTRY031,27,4
RESULT038,CONT001,CTRY017,46,9
RESULT039,CONT001,CTRY001,29,23
RESULT040,CONT001,CTRY027,161,26
RESULT042,CONT001,CTRY023,154,15
RESULT044,CONT001,CTRY010,161,17
RESULT046,CONT001,CTRY029,188,19
RESULT047,CONT001,CTRY026,22,11
RESULT050,CONT001,CTRY036,25,5
RESULT051,CONT001,CTRY000,39,23
RESULT052,CONT002,CTRY027,145,1
RESULT053,CONT002,CTRY010,165,10
RESULT054,CONT002,CTRY000,138,1
RESULT055,CONT002,CTRY002,133,19
RESULT056,CONT002,CTRY015,164,11
RESULT057,CONT002,CTRY025,99,10
RESULT058,CONT002,CTRY012,167,8
RESULT059,CONT002,CTRY032,200,15
RESULT060,CONT002,CTRY022,195,16
RESULT062,CONT002,CTRY016,130,14
RESULT063,CONT002,CTRY026,196,14
RESULT064,CONT002,CTRY004,34,4
RESULT065,CONT002,CTRY018,6,17
RESULT066,CONT002,CTRY036,166,7
RESULT067,CONT002,CTRY028,125,2
RESULT068,CONT002,CTRY017,1,23
RESULT069,CONT002,CTRY020,102,17
RESULT070,CONT002,CTRY038,99,26
RESULT071,CONT002,CTRY031,183,12
RESULT072,CONT002,CTRY037,194,17
RESULT073,CONT002,CTRY013,152,2
RESULT074,CONT002,CTRY006,9,2
RESULT075,CONT002,CTRY033,30,4
RESULT078,CONT003,CTRY036,150,18
RESULT079,CONT003,CTRY031,33,16
RESULT081,CONT003,CTRY034,123,3
RESULT082,CONT003,CTRY017,199,10
RESULT083,CONT003,CTRY038,37,7
RESULT084,CONT003,CTRY004,150,19
