song_id,song_title,song_length_seconds,genre,language
SONG000,R9211U645VDB828,244,Pop,German
SONG001,192V4DUSGEHN0Z1,162,Classical,German
SONG002,R5FN3EH81A4RKGJ,243,Pop,German
SONG003,ZOWI1T2EP768SY7,229,Jazz,Italian
SONG004,P1ZSCMO1POB7FU9,193,Jazz,Italian
SONG005,9259P5Z5ZLM36VF,297,Jazz,Italian
SONG006,OX5WWPM3X15DTOZ,246,Pop,Spanish
SONG007,5STHSLMWA6TJ3KP,160,Rock,Spanish
SONG008,S04JSE17QUAMI0U,291,Classical,Italian
SONG009,Z7X4IKY3UFN0DSG,160,Classical,Italian
SONG010,2QFPODPEHCYOU25,270,Pop,Portuguese
SONG011,VW9Y80PFSRQ8STZ,163,Folk,Spanish
SONG012,QBFU7E4DNKSEKNK,254,Pop,French
SONG013,BF2P7KKG0ATCBRL,203,Jazz,Spanish
SONG014,QMN44EEW1YF0DWW,211,Classical,Portuguese
SONG015,N6MBYPJDFAW1LXX,255,Classical,French
SONG016,D8T18S1SAXT8JH3,292,Folk,Spanish
SONG017,4UDTLVR7MGATND9,267,Pop,Spanish
SONG018,TKG1F8YC8GZKDF6,240,Rock,Portuguese
SONG019,J76BIVISS8JLTCB,154,Rock,Spanish
SONG020,W6ATVD1XEUQ4S2F,284,Rock,Portuguese
SONG021,TGI88TB38WXGC7J,197,Jazz,German
SONG022,JY94H4KFTCDZ309,182,Rock,Portuguese
SONG023,5HS258W9ZJXLH8L,166,Pop,Spanish
SONG024,6E7VAAGUZROC5XT,165,Rock,French
SONG025,63QE8NVN439ENGA,218,Folk,Portuguese
SONG026,01YZG3W3H98BRZV,162,Folk,English
SONG027,A9WDJSGG0YVGV0E,181,Rock,French
SONG028,7450J4A8YWY5APY,250,Rock,German
SONG029,X4L4OESRSBZB7TL,214,Folk,Italian
SONG030,OM539IY87HLCWBP,285,Jazz,Portuguese
SONG031,A274IR833SICVPD,181,Pop,Portuguese
SONG032,QE97N6Y2C2BVPDC,292,Jazz,French
SONG033,B4OWO52WQQPWDXY,285,Classical,German
SONG034,ASVDAZV46ESMRWG,151,Pop,German
SONG035,EBEVSXMVTFQVK8S,216,Jazz,French
SONG036,XFI3UBM9XHCGRYQ,216,Pop,English
SONG037,Y4UMKLD56R7WYQH,195,Rock,Italian
SONG038,R133NO3AAMTFPW6,290,Rock,French
SONG039,M9HKHJG4IHGJD3E,271,Pop,French
SONG040,X5MHQNNGS2WPZE5,277,Pop,Portuguese
SONG041,EGTYLPW71V4KFIW,213,Classical,Italian
SONG042,KESVR022WGN51NS,282,Rock,English
SONG043,GZSR8RUW2XH6QIH,199,Pop,Portuguese
SONG044,PNF4JD1KSIBSMQP,246,Jazz,French
SONG045,NRJAPJC6KSTCJIE,198,Pop,French
SONG046,MTMYJ014GVE4ZTJ,285,Rock,English
SONG047,1KM9831AX985I0H,166,Jazz,French
SONG048,IVTQ3MD4P7PP4BF,252,Rock,French
SONG049,5L0RXMIP11YKVUB,218,Classical,Italian
SONG050,F99U26UON8CNRL8,212,Folk,French
SONG051,XKGYG3VAH6NHKSQ,189,Rock,Portuguese
SONG052,NAL6O9EP0O6H5L3,166,Jazz,English
SONG053,XFULHZQH9Q3VILU,186,Jazz,Portuguese
SONG054,RQBDX7M42O34OGW,252,Classical,German
SONG055,PNXZDZB5F5TXC06,225,Classical,Italian
SONG056,6O1EN1S2OFHBAWY,193,Folk,English
SONG057,QMOGBJZEYQQCXZP,283,Jazz,English
SONG058,QKF4VGE0GYAJPGZ,296,Pop,Spanish
SONG059,6TPBWSXXDYPVBNH,228,Rock,Portuguese
